Lon   Lat   clay silt sand orgC CN pH cellfraction 
-88.75 21.75 0.255 0.301 0.444 0.020 10.317 6.891 0.364 
-67.25 -39.75 0.230 0.320 0.450 0.009 11.000 7.000 0.499 
33.75 12.75 0.540 0.290 0.170 0.008 11.000 7.900 0.501 
10.75 6.25 0.500 0.190 0.310 0.028 16.000 4.900 0.434 
62.25 37.75 0.060 0.060 0.880 0.002 12.000 5.900 0.426 
77.75 40.25 0.170 0.270 0.560 0.004 9.000 8.000 0.455 
53.75 39.25 0.060 0.060 0.880 0.002 12.000 5.900 0.709 
-120.75 62.75 0.210 0.610 0.180 0.353 17.000 4.800 0.700 
-86.25 67.75 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
13.25 -2.25 0.390 0.170 0.440 0.013 12.000 4.900 0.800 
27.25 4.25 0.390 0.170 0.440 0.013 12.000 4.900 0.700 
127.25 -14.75 0.130 0.190 0.680 0.006 11.000 6.500 0.331 
103.75 30.75 0.290 0.300 0.410 0.010 11.000 6.200 0.446 
43.75 52.25 0.280 0.480 0.240 0.022 11.000 7.000 0.598 
30.25 24.75 0.170 0.270 0.560 0.004 9.000 8.000 0.484 
20.75 21.25 0.170 0.270 0.560 0.004 9.000 8.000 0.401 
-72.25 -35.25 0.270 0.300 0.430 0.014 11.000 7.600 0.411 
24.25 29.75 0.180 0.280 0.540 0.004 14.000 8.100 0.457 
143.75 59.75 0.140 0.480 0.380 0.018 12.000 5.000 0.552 
81.25 26.25 0.240 0.310 0.450 0.010 11.000 6.600 0.522 
59.25 56.75 0.200 0.220 0.580 0.008 11.000 6.200 0.545 
77.75 67.75 0.200 0.480 0.320 0.031 17.000 6.300 0.501 
135.25 -26.25 0.260 0.250 0.490 0.007 11.000 7.800 0.601 
-68.25 -33.75 0.170 0.270 0.560 0.004 9.000 8.000 0.600 
-97.25 58.25 0.060 0.200 0.740 0.030 17.000 4.500 0.400 
85.25 21.75 0.270 0.300 0.430 0.014 11.000 7.600 0.438 
70.25 55.75 0.280 0.410 0.310 0.012 11.000 7.500 0.370 
17.75 -11.25 0.350 0.110 0.540 0.010 13.000 4.500 0.431 
121.75 72.25 0.200 0.480 0.320 0.031 17.000 6.300 0.800 
21.75 12.75 0.270 0.300 0.430 0.014 11.000 7.600 0.389 
12.25 15.25 0.050 0.050 0.900 0.003 13.000 5.700 0.571 
-77.25 41.75 0.240 0.330 0.430 0.014 12.000 5.100 0.800 
-102.75 72.75 0.089 0.369 0.543 0.024 11.154 5.839 0.939 
-104.25 42.25 0.230 0.400 0.370 0.013 9.000 7.200 0.578 
74.75 32.25 0.190 0.380 0.430 0.006 10.000 8.100 0.403 
58.75 48.75 0.270 0.300 0.430 0.014 11.000 7.600 0.366 
33.75 -5.75 0.260 0.190 0.550 0.009 13.000 5.300 0.454 
168.25 69.25 0.200 0.480 0.320 0.031 17.000 6.300 0.687 
65.75 35.25 0.270 0.300 0.430 0.014 11.000 7.600 0.429 
-52.75 -20.25 0.060 0.050 0.890 0.004 13.000 5.600 0.473 
-171.75 66.25 0.200 0.480 0.320 0.031 17.000 6.300 0.685 
133.25 46.25 0.180 0.260 0.560 0.008 10.000 5.700 0.378 
27.75 41.25 0.530 0.240 0.230 0.012 12.000 6.800 0.368 
48.25 64.25 0.050 0.150 0.800 0.018 19.000 4.700 0.478 
103.25 76.25 0.200 0.480 0.320 0.031 17.000 6.300 0.480 
-15.75 20.25 0.050 0.060 0.890 0.004 11.000 6.400 0.361 
-53.75 5.75 0.400 0.350 0.250 0.384 15.000 5.900 0.727 
-43.25 -12.75 0.190 0.160 0.650 0.007 12.000 6.200 0.352 
-35.75 -8.25 0.270 0.240 0.490 0.008 10.000 6.400 0.256 
12.75 41.75 0.230 0.360 0.410 0.034 11.000 6.400 0.365 
124.25 45.75 0.320 0.330 0.350 0.018 11.000 6.400 0.345 
110.25 20.25 0.190 0.160 0.650 0.007 12.000 6.200 0.814 
35.75 52.25 0.240 0.510 0.250 0.016 10.000 6.600 0.861 
40.25 43.25 0.220 0.190 0.590 0.008 11.000 5.100 0.311 
19.25 -1.75 0.350 0.110 0.540 0.010 13.000 4.500 0.525 
